2024-12-13 07:08:33.429 [info] Starting Python Locator /home/mpeters/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python-env-tools/bin/pet server
2024-12-13 07:08:34.093 [info] Discovered env: /home/mpeters/home/bin/python
2024-12-13 07:08:34.421 [info] Discovered env: /bin/python3
2024-12-13 07:08:34.422 [info] Discovered env: /usr/bin/python3
2024-12-13 07:08:34.424 [info] Locator Conda took 46.748594ms
2024-12-13 07:08:34.424 [info] Locator Homebrew took 223.137µs
2024-12-13 07:08:34.424 [info] Locator LinuxGlobal took 51.467991ms
2024-12-13 07:08:34.424 [info] Locator PipEnv took 21.388µs
2024-12-13 07:08:34.424 [info] Locator Poetry took 755.76µs
2024-12-13 07:08:34.424 [info] Locator PyEnv took 561.075µs
2024-12-13 07:08:34.425 [info] Locator Venv took 108.833µs
2024-12-13 07:08:34.425 [info] Locator VirtualEnv took 76.899µs
2024-12-13 07:08:34.425 [info] Locator VirtualEnvWrapper took 1.129015ms
2024-12-13 07:08:34.425 [info] Locator GlobalVirtualEnvs took 139.174µs
2024-12-13 07:08:34.425 [info] Locator Locators took 53.955424ms
2024-12-13 07:08:34.425 [info] Locator Path took 100.614883ms
2024-12-13 07:08:34.425 [info] Locator Workspaces took 3.108297ms
2024-12-13 07:08:34.425 [info] Refresh completed in 100ms
2024-12-13 07:08:34.428 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:08:34.431 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:10:15.121 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:11:04.694 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:11:47.733 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:12:51.087 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:14:01.809 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:14:51.364 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:15:29.833 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:16:13.374 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:17:49.133 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:18:54.981 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:19:49.733 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:21:12.150 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:21:50.727 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:22:22.515 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:24:21.730 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:27:44.647 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:29:48.255 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:30:22.108 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:31:30.532 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:32:32.239 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:37:44.388 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:39:17.006 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:40:22.753 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:41:36.058 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:42:14.769 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:43:02.914 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:44:41.876 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:45:17.682 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:46:19.555 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:46:59.428 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:47:56.015 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:48:41.194 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:54:06.080 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:54:53.803 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:56:04.817 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:57:18.781 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 07:58:35.654 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 08:04:38.952 [info] Resolved Python Environment /home/mpeters/home/bin/python
