2024-12-12 07:27:10.551 [info] Starting Python Locator /home/mpeters/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python-env-tools/bin/pet server
2024-12-12 07:27:12.806 [info] Discovered env: /usr/bin/python3
2024-12-12 07:27:12.834 [info] Discovered env: /bin/python3
2024-12-12 07:27:12.867 [info] Locator Conda took 102.927379ms
2024-12-12 07:27:12.867 [info] Locator Homebrew took 173.815µs
2024-12-12 07:27:12.867 [info] Locator LinuxGlobal took 48.681894ms
2024-12-12 07:27:12.867 [info] Locator PipEnv took 29.203µs
2024-12-12 07:27:12.867 [info] Locator Poetry took 142.812µs
2024-12-12 07:27:12.867 [info] Locator PyEnv took 692.261µs
2024-12-12 07:27:12.867 [info] Locator Venv took 344.631µs
2024-12-12 07:27:12.867 [info] Locator VirtualEnv took 14.601µs
2024-12-12 07:27:12.867 [info] Locator VirtualEnvWrapper took 71.806µs
2024-12-12 07:27:12.867 [info] Locator GlobalVirtualEnvs took 53.505µs
2024-12-12 07:27:12.868 [info] Locator Locators took 103.429224ms
2024-12-12 07:27:12.868 [info] Locator Path took 100.342952ms
2024-12-12 07:27:12.868 [info] Locator Workspaces took 19.644233ms
2024-12-12 07:27:12.868 [info] Refresh completed in 103ms
2024-12-12 07:27:12.870 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:33:53.817 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:35:25.946 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:37:07.149 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:37:53.230 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:39:10.166 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:41:33.917 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:43:22.899 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:44:15.995 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:46:20.401 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:46:58.447 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:53:39.376 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:54:36.066 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 07:57:34.383 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:00:13.233 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:01:00.607 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:01:41.656 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:03:10.556 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:03:47.136 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:04:24.476 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:05:57.208 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:12:03.498 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:12:50.654 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:14:32.073 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:16:47.050 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:18:05.958 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 08:21:46.947 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 11:55:17.084 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 11:56:53.892 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:04:22.282 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:09:40.121 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:10:55.380 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:12:28.419 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:14:28.809 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:16:36.827 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:18:33.487 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:19:21.797 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:19:58.298 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:20:41.878 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:22:10.065 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:22:57.545 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:25:35.149 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:26:05.429 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:28:14.113 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:29:42.462 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:31:41.839 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:32:27.469 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:33:57.044 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:34:50.720 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:36:07.421 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:38:41.380 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:40:06.110 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:41:44.349 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:43:22.671 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:44:14.029 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 12:47:09.502 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:41:20.940 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:43:55.704 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:44:44.955 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:45:48.764 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:46:58.912 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:48:17.355 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:50:22.586 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:53:14.784 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 15:57:09.286 [info] Resolved Python Environment /usr/bin/python3
2024-12-12 16:01:38.700 [info] Resolved Python Environment /usr/bin/python3
